,tweet,hashtags,class,label
82,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
83,pannun no shame leave,"['Pannun', 'Khalistan']",,1.0
84,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
85,b right farmer dont take darma justice way protest live,[],,1.0
86,punjab deep sht cm talk amp behave like goongetting chakka jam rail roko do,['Punjab'],,1.0
87,cm gherao modi truck rally th sept solution farmersbill sfj,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ']",,1.0
88,farmer want right burn tractor not solution solution khalistan,['khalistan'],,1.0
89,cm gherao modi truck rally th sept solution farmersbill sfj,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ']",,1.0
90,cm gherao modi truck rally th sept solution farmersbill sfj,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ']",,1.0
91,pannun pakistani puppet who work pakistan see indian sikh answer referendum shame,['Shame'],,1.0
92,cm get ready gherao modi truck rally campaign th sept anti farmer bill pass,"['Modi', 'TruckRally']",,1.0
93,cm gherao modi truck rally th sept support farmer stopmodi farmer want right live,"['Modi', 'TruckRally', 'stopmodi']",,1.0
94,not punjab kesari dainik jagran way far punjab day super secular,[],,1.0
95,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
96,khalistan solution farmersbill cm gherao modi truck rally th sept,"['Khalistan', 'Farmersbill2020', 'Modi', 'TruckRally']",,1.0
97,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],,1.0
98,like fail agenda pannun door door campaign go super failure nahi chahida k,"['Pannun', 'door', 'NahiChahidaK']",,1.0
99,b account withhold india response legal demand learn,[],,1.0
100,cm u ready gherao modi truck rally watch u th sept solution,"['Modi', 'TruckRally']",,1.0
101,people ask khalistan,['Khalistan'],,1.0
102,save farmer cm gherao modi truck rally th sept solution farmersbill sfj,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ']",,1.0
103,b account withhold india response legal demand learn,[],,1.0
104,b account withhold india response legal demand learn,[],,1.0
105,b account withhold india response legal demand learn,[],,1.0
106,b account withhold india response legal demand learn,[],,1.0
107,b account withhold india response legal demand learn,[],,1.0
108,charm hour long discussion channel president shiromani akali dal amritsar,[],,1.0
109,way stop modi agenda cm gherao modi truck rally th sept solution,"['Modi', 'TruckRally']",,1.0
110,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],,1.0
111,,['Khalistan'],,1.0
112,sikh nation see real face not fool u anymore what,[],,1.0
113,b gherao modi truck rally th sept cm dont want anything except want live l,"['Modi', 'TruckRally']",,1.0
114,cm get ready gherao modi truck rally campaign th sept anti farmer bill pass,"['Modi', 'TruckRally']",,1.0
115,cm gherao modi truck rally conduct th sept modi need sensitize punjab,"['Modi', 'TruckRally', 'punjab']",,1.0
116,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
117,b support poor farmer think government see whats go try,[],,1.0
118,cm gherao modi sept anti farmer bill bil increase problem p,['Modi'],,1.0
119,khalistan solution leave u cm gherao modi truck rally th sept sol,"['Modi', 'TruckRally']",,1.0
120,punjab haryana want independent separate homeland khalistan cm gherao modi truck rally,"['punjab', 'Haryana', 'khalistan', 'Modi', 'TruckRally']",,1.0
121,cm make change farmer bill not solution solution farmersbill,['Farmersbill2020'],,1.0
122,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
123,cm government let poor farmer fend time crisis,[],,1.0
124,cm gherao modi truck rally th sept save farmer punjab haryana solution,"['Modi', 'TruckRally']",,1.0
125,cm gherao modi truck rally farmer systematically force suicide khalistan bnao soluti,"['Modi', 'TruckRally', 'Khalistan']",,1.0
126,cm gherao modi truck rally th sept solution farmersbill sfj,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ']",,1.0
127,oops what happen video go break every khalistanis dream socalled khalistan,"['Khalistanis', 'Khalistan']",,1.0
128,cm gherao modi truck rally th sept solution farmersbill sfj,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ']",,1.0
129,b account withhold india response legal demand learn,[],,1.0
130,b cm gherao modi truck rally th sept dont want anything except want live,"['Modi', 'TruckRally']",,1.0
131,farmer gather outside modi residence new delhi farmersbill call reform bill wil,"['Modi', 'Farmersbill2020']",,1.0
132,sikh nation see real face not fool u anymore what farmersbil,['Farmersbil'],,1.0
133,sfj gunda gang launch another application google play store which motive spread hate among sikh,"['Hate', 'Sikh']",,1.0
134,cm solution farmersbill sfj khalistan register vote,"['Farmersbill2020', 'SFJ', 'Khalistan', 'Register2Vote2020']",,1.0
135,sikh nation see real face not fool u anymore what,[],,1.0
136,b account withhold india response legal demand learn,[],,1.0
137,stop crocodile tear know puppet indian government no power thing punjab farm,['PunjabFarm'],,1.0
138,farmer gather outside modi residence new delhi farmersbill call reform b,"['Modi', 'Farmersbill2020']",,1.0
139,cm make change farmer bill not solution solution farmersbill,['Farmersbill2020'],,1.0
140,stop crocodile tear know puppet indian government no power thing,[],,1.0
141,b account withhold india response legal demand learn,[],,1.0
142,cm get ready gherao modi truck rally campaign th sept anti farmer bill pass,"['Modi', 'TruckRally']",,1.0
143,cm gherao modi truck rally th sept time show modi sikh fight r,"['Modi', 'TruckRally', 'Modi']",,1.0
144,b account withhold india response legal demand learn,[],,1.0
145,b trucker go reach delhi september there one solution thats farmer bill,[],,1.0
146,punjab truck stop modi take justice gherao modi truck rally th sept solution farmersbill,"['Modi', 'TruckRally', 'Farmersbill2020']",,1.0
147,no khalistan khai garbage dear sikh quick realise pannun,"['Khalistan', 'Khai']",,1.0
148,cm farmer bad debt not pay loan solution,[],,1.0
149,part rally save life ppor farmer stop enter cm gherao modi,['Modi'],,1.0
150,no khalistan khai garbage dear sikh quick realise pannun,"['Khalistan', 'Khai']",,1.0
151,b account withhold india response legal demand learn,[],,1.0
152,ready gherao modi truck rally th september punjab haryana people want live independent life,['TruckRally'],,1.0
153,khalistan zindabad modi let ur agenda,[],,1.0
154,sept truck rally day gherao modi solution farmersbill sfj khalistan,"['TruckRally', 'Modi', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
155,people ask khalistan,['Khalistan'],,1.0
156,no khalistan khai garbage dear sikh quick realise pannun,"['Khalistan', 'Khai']",,1.0
157,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
158,pakistan eliminate sikh population decade kill rape abduction force marriage,"['Pakistan', 'Sikh']",,1.0
159,b account withhold india response legal demand learn,[],,1.0
160,b account withhold india response legal demand learn,[],,1.0
161,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],,1.0
162,cm disquiet not solution solution farmersbill sfj,"['Farmersbill2020', 'SFJ']",,1.0
163,cm farmer bad debt not pay loan solution th,[],,1.0
164,b cm dont fake don,[],,1.0
165,cm amendment farmer bill not solution solution,[],,1.0
166,cm make change farmer bill not solution solution,[],,1.0
167,cm farmer bad debt not pay loan solution,[],,1.0
168,b cm dont want bill want khalistan soluti,[],,1.0
169,cm make change farmer bill not solution,[],,1.0
170,cm farmer bad debt not pay loan solution,[],,1.0
171,cm farmer commit suicide avoid pay loan solution,[],,1.0
172,cm make change farmer bill not solution,[],,1.0
173,cm solution farmersbill sfj khalistan register vote,"['Farmersbill2020', 'SFJ', 'Khalistan', 'Register2Vote2020']",,1.0
174,sfj gunda gang launch another application google play store which motive spread hate among sikh,"['Hate', 'Sikh']",,1.0
175,b account withhold india response legal demand learn,[],,1.0
176,cm farmer bad debt not pay loa,[],,1.0
177,cm capt amarinder amp power doesn,[],,1.0
178,b account withhold india response legal demand learn,[],,1.0
179,b cm indian government isnt actually sincere poor farmer say yes,[],,1.0
180,b account withhold india response legal demand learn,[],,1.0
181,b cm dont fake don,['Farmersbill2020'],,1.0
182,cm yearly farmer take life avoid pay loan soluti,[],,1.0
183,seperate state khalistan need sikh farmer not save,['khalistan'],,1.0
184,cm protest not solution want land solution farmersbill,['Farmersbill2020'],,1.0
185,cm solution farmersbill sfj khalistan register vote,"['Farmersbill2020', 'SFJ', 'Khalistan', 'Register2Vote2020']",,1.0
186,cm make change farmer bill not solution solution,[],,1.0
187,b cm dont fake don,[],,1.0
188,cm protest not solution solution,[],,1.0
189,cm disquiet not solution solution farmersbill,['Farmersbill2020'],,1.0
190,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
191,sfj gunda gang launch another application google play store which motive spread hate among sikh,"['Hate', 'Sikh']",,1.0
192,hope not plan promote khalistan movement,['Khalistan'],,1.0
193,sfj gunda gang launch another application google play store which motive spread hate among sikh,"['Hate', 'Sikh']",,1.0
194,no khalistan khai garbage dear sikh quick realise pannun,"['Khalistan', 'Khai']",,1.0
195,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
196,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
197,cm solution separate land farmersbill sfj khalistan,"['Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
198,cm make change farmer bill not solution solution,[],,1.0
199,cm make change farmer bill not solution sol,[],,1.0
200,cm not believe word solution,[],,1.0
201,b cm dont want anything except want live life,[],,1.0
202,b account withhold india response legal demand learn,[],,1.0
203,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
204,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
205,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
206,farmersbill allready supressed fa,['Farmersbill2020'],,1.0
207,cm farmer bad debt not,[],,1.0
208,b cm every life important cruelty isnt,[],,1.0
209,want farmer commit suicide farmersbill,['Farmersbill2020'],,1.0
210,b cm dont fake don,[],,1.0
211,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
212,b cm dont make false prom,[],,1.0
213,b cm dont fake yo,[],,1.0
214,sfj gunda gang launch another application google play store which motive spread hate among sikh,"['Hate', 'Sikh']",,1.0
215,sto,[],,1.0
216,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
217,,[],,1.0
218,oops what happen video go break every khalistanis dream socalled khalistan,"['Khalistanis', 'Khalistan']",,1.0
219,cm,[],,1.0
220,cm,[],,1.0
221,,[],,1.0
222,solution problem khalistan,['KHALISTAN'],,1.0
223,want farmer commit suicide due kind anti farmer bill want,[],,1.0
224,outrightly reject ideology separatism clear crystal khalistan ideology cannot,['Khalistan'],,1.0
225,protest not solution solution farmersbill sfj khalistan,"['Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
226,farmer commit suicide punjab still pass law what,[],,1.0
227,b account withhold india response legal demand learn,[],,1.0
228,sfj gunda gang launch another application google play store which motive spread hate among sikh,"['Hate', 'Sikh']",,1.0
229,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],,1.0
230,capt amarinder amp power doesn,[],,1.0
231,b dont want anything except want live life way don,[],,1.0
232,sikh nation decide future khalistan make one day,['khalistan'],,1.0
233,b why cry,['Khalistan'],,1.0
234,say no lollipop what farmersbill,['Farmersbill2020'],,1.0
235,cm stop showoff don,[],,1.0
236,cm protest not solution solution,[],,1.0
237,b account withhold india response legal demand learn,[],,1.0
238,farmer live miserable life want khalistan farmersbill sfj,"['Khalistan', 'Farmersbill2020', 'SFJ']",,1.0
239,stop crocodile tear know puppet indian government no po,[],,1.0
240,guyz not sincere sikh nation right khalistan,['khalistan'],,1.0
241,say yes khalistan solution problem sfj farmersbill,"['Khalistan', 'SFJ', 'Farmersbill2020']",,1.0
242,cm create drama nothing farmer gherao modi truck rally th sept solution,"['Modi', 'TruckRally']",,1.0
243,nothing u what right u futur,[],,1.0
244,sfj gunda gang launch another application google play store which motive spread hate among sikh,"['Hate', 'Sikh']",,1.0
245,cm gherao modi truck rally th sept support poor farmer stop modi solution farmersbill,"['Modi', 'TruckRally', 'Farmersbill2020']",,1.0
246,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
247,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
248,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
249,oops what happen video go break every khalistanis dream socalled khalistan,"['Khalistanis', 'Khalistan']",,1.0
250,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],,1.0
251,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
252,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
253,farmer protest ambala army cavalcade block pro khalistan slogan raise cavalcade ar,[],,1.0
254,b account withhold india response legal demand learn,[],,1.0
255,time cm gherao modi truck rally th sept solution farmersbill sfj khalistan regist,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan', 'Regist']",,1.0
256,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
257,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
258,like fail agenda pannun door door campaign go super failure nahi chahida k,"['Pannun', 'door', 'NahiChahidaK']",,1.0
259,b time cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
260,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
261,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
262,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
263,mr pannun door door campaign go super failure like campaign nah,"['Pannun', 'door', 'Nah']",,1.0
264,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],,1.0
265,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
266,like fail agenda pannun door door campaign go super failure nahi chahida k,"['Pannun', 'door', 'NahiChahidaK']",,1.0
267,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
268,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
269,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
270,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
271,no khalistan khai garbage dear sikh quick realise pannun,"['Khalistan', 'Khai']",,1.0
272,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
273,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
274,b account withhold india response legal demand learn,[],,1.0
275,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
276,sfj gunda gang launch another application google play store which motive spread hate among sikh,"['Hate', 'Sikh']",,1.0
277,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
278,pannun please grow stop woo sikh community terror money real sikh not weak gree,"['Pannun', 'SikhCommunity', 'Terror', 'RealSikhs']",,1.0
279,why sf j late program rail roko big flop show no sikh ever interest join sf j khalistan,"['SFJ', 'RailRoko', 'Sikh', 'SFJ', 'Khalistan']",,1.0
280,sfj gunda gang launch another application google play store which motive spread hate among,['Hate'],,1.0
281,no khalistan khai garbage dear sikh quick realise pannun,"['Khalistan', 'Khai']",,1.0
282,no khalistan khai garbage dear sikh quick realise pannun,"['Khalistan', 'Khai']",,1.0
283,oops what happen video go break every khalistanis dream socalled khalistan,"['Khalistanis', 'Khalistan']",,1.0
284,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
285,like fail agenda pannun door door campaign go super failure nahi chahida k,"['Pannun', 'door', 'NahiChahidaK']",,1.0
286,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
287,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],,1.0
288,oops what happen video go break every khalistanis dream socalled khalistan,"['Khalistanis', 'Khalistan']",,1.0
289,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
290,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],,1.0
291,oops what happen video go break every khalistanis dream socalled khalistan,"['Khalistanis', 'Khalistan']",,1.0
292,no khalistan khai garbage dear sikh quick realise pannun,"['Khalistan', 'Khai']",,1.0
293,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
294,like fail agenda pannun door door campaign go super failure nahi chahida k,"['Pannun', 'door', 'NahiChahidaK']",,1.0
295,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],,1.0
296,no khalistan khai garbage dear sikh quick realise pannun,"['Khalistan', 'Khai']",,1.0
297,oops what happen video go break every khalistanis dream socalled khalistan,"['Khalistanis', 'Khalistan']",,1.0
298,oops what happen video go break every khalistanis dream socalled khalistan,"['Khalistanis', 'Khalistan']",,1.0
299,oops what happen video go break every khalistanis dream socalled khalistan,"['Khalistanis', 'Khalistan']",,1.0
300,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
301,basically pannun try hard make maximum money november know what khalistan alread,"['Pannun', 'November', 'Khalistan']",,1.0
302,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",,1.0
303,oops what happen video go break every khalistanis dream socalled khalistan,"['Khalistanis', 'Khalistan']",,1.0
304,pannun khalistani stooge also say dont want support khalistan terror drama,"['Pannun', 'KhalistaniStooges', 'Khalistan']",,1.0
305,,"['Kashmir_With_India', 'ShameOnSFJ', 'ShameOnPannun', 'Khalis']",,1.0
306,charm hour long discussion channel president shiromani akali dal amritsar,[],,1.0
307,sikh want khalistan sikh indian army man explain how sikh treat india minority not safe india,"['Khalistan', 'Minorities']",,1.0
